work,month,day,day_of_week,holiday
0,12,25,Sunday,1
0,12,26,Monday,0
0,12,27,Tuesday,0
0,12,28,Wednesday,0
1,12,29,Thursday,0
1,12,30,Friday,0
1,12,31,Saturday,0
0,1,1,Sunday,1
0,1,2,Monday,0
0,1,3,Tuesday,0
0,1,4,Wednesday,0
1,1,5,Thursday,0
1,1,6,Friday,0
1,1,7,Saturday,0
0,1,8,Sunday,0
0,1,9,Monday,0
0,1,10,Tuesday,0
0,1,11,Wednesday,0
1,1,12,Thursday,0
1,1,13,Friday,0
1,1,14,Saturday,0
0,1,15,Sunday,0
0,1,16,Monday,0
1,1,17,Tuesday,0
0,1,18,Wednesday,0
1,1,19,Thursday,0
1,1,20,Friday,0
0,1,21,Saturday,0
0,1,22,Sunday,0
0,1,23,Monday,0
0,1,24,Tuesday,0
1,1,25,Wednesday,0
0,1,26,Thursday,0
1,1,27,Friday,0
1,1,28,Saturday,0
